[2025-07-10 23:26:27,821 ] 43 root - INFO - Loading PDF: artifacts/standard_pdfs/chapter_3.pdf
[2025-07-10 23:26:28,702 ] 60 root - INFO - PDF file loaded successfully from artifacts/standard_pdfs/chapter_3.pdf
[2025-07-10 23:26:28,703 ] 45 root - INFO - PDF loaded successfully. Starting cleaning process.
[2025-07-10 23:26:28,703 ] 18 root - INFO - Starting text cleaning.
[2025-07-10 23:26:28,754 ] 27 root - INFO - Text cleaning completed.
[2025-07-10 23:26:28,755 ] 47 root - INFO - PDF ingestion and cleaning successful.
[2025-07-10 23:26:28,755 ] 61 root - INFO - Saving cleaned text to: artifacts/input_data/temp/cleaned_text.txt
[2025-07-10 23:26:28,760 ] 18 root - INFO - Text file saved successfully at artifacts/input_data/temp/cleaned_text.txt
[2025-07-10 23:26:28,769 ] 63 root - INFO - Cleaned text saved successfully.
