[2025-07-09 21:02:01,818 ] 43 root - INFO - Loading PDF: artifacts/standard_pdfs/chapter_8.pdf
[2025-07-09 21:02:06,589 ] 60 root - INFO - PDF file loaded successfully from artifacts/standard_pdfs/chapter_8.pdf
[2025-07-09 21:02:06,589 ] 45 root - INFO - PDF loaded successfully. Starting cleaning process.
[2025-07-09 21:02:06,590 ] 18 root - INFO - Starting text cleaning.
[2025-07-09 21:02:07,012 ] 27 root - INFO - Text cleaning completed.
[2025-07-09 21:02:07,012 ] 47 root - INFO - PDF ingestion and cleaning successful.
[2025-07-09 21:02:07,013 ] 61 root - INFO - Saving cleaned text to: artifacts/input_data/temp/cleaned_text.txt
[2025-07-09 21:02:07,378 ] 18 root - INFO - Text file saved successfully at artifacts/input_data/temp/cleaned_text.txt
[2025-07-09 21:02:07,382 ] 63 root - INFO - Cleaned text saved successfully.
